"","thalwagX","thalwagY"
"53",305349.2565,4907366.4097
"52",305349.0594,4907366.2274
"51",305348.8742,4907366.0339
"50",305348.7033,4907365.8297
"49",305348.5503,4907365.6146
"48",305348.4204,4907365.3872
"47",305348.3119,4907365.1317
"46",305348.2693,4907365.0071
"45",305348.2015,4907364.7542
"44",305348.1509,4907364.4931
"43",305348.1125,4907364.2261
"42",305348.0823,4907363.9551
"41",305347.9906,4907362.8533
"40",305347.9003,4907361.9511
"39",305347.8787,4907361.6561
"38",305347.8641,4907361.3602
"37",305347.8486,4907360.7666
"36",305347.8436,4907359.5769
"35",305347.8537,4907357.79
"34",305347.8815,4907355.0981
"33",305347.8837,4907354.4987
"32",305347.8736,4907353.9032
"31",305347.8593,4907353.6089
"30",305347.8349,4907353.3186
"29",305347.7959,4907353.0346
"28",305347.7364,4907352.7597
"27",305347.6485,4907352.4978
"26",305347.5402,4907352.2779
"25",305347.4076,4907352.0706
"24",305347.2559,4907351.8753
"23",305347.0886,4907351.692
"22",305346.9082,4907351.5222
"21",305346.716,4907351.3685
"20",305346.5122,4907351.2348
"19",305346.2963,4907351.127
"18",305346.0621,4907351.0485
"17",305345.8178,4907350.9983
"16",305345.5672,4907350.9719
"15",305345.3134,4907350.9665
"14",305345.0593,4907350.9812
"13",305344.8078,4907351.017
"12",305344.5618,4907351.0767
"11",305344.3134,4907351.1662
"10",305344.0703,4907351.2741
"9",305343.6355,4907351.4784
"8",305343.2025,4907351.6719
"7",305342.5038,4907352.0254
"6",305342.0003,4907352.2729
"5",305341.7541,4907352.4013
"4",305341.5227,4907352.5348
"3",305341.2635,4907352.7077
"2",305341.0481,4907352.8722
"1",305340.9362,4907352.9677
